CourseID,CourseName,Unit,ReviewNumber,AvgStar,Level,Results
Deploying Machine Learning Models in Production,Deploying Machine Learning Models in Production,DeepLearning.AI,322,4.5,Advanced level,
Introduction to Data Science in Python,Introduction to Data Science in Python,University of Michigan,26908,4.5,Intermediate level,"Understand techniques such as lambdas and manipulating csv files
Describe common Python functionality and features used for data science
Query DataFrame structures for cleaning and processing
Explain distributions, sampling, and t-tests
"
Microsoft Azure Developer Associate (AZ-204) Professional Certificate,Microsoft Azure Developer Associate (AZ-204) Professional Certificate,Microsoft,142,4.6,Intermediate level,
Supply Chain Management and Analytics,Supply Chain Management and Analytics,Unilever,25,4.8,Beginner level,
Natural Language Processing with Attention Models,Natural Language Processing with Attention Models,DeepLearning.AI,972,4.4,Intermediate level,"Use encoder-decoder, causal, & self-attention to machine translate complete sentences, summarize text, build chatbots & question-answering.
"
AI and Public Health,AI and Public Health,DeepLearning.AI,151,4.7,Beginner level,
Evaluations of AI Applications in Healthcare,Evaluations of AI Applications in Healthcare,Stanford University,203,4.6,Beginner level,"Principles and practical considerations for integrating AI into clinical workflows
Best practices of AI applications to promote fair and equitable healthcare solutions
Challenges of regulation of AI applications and which components of a model can be regulated
What standard evaluation metrics do and do not provide
"
Machine Learning Specialization,Machine Learning Specialization,University of Washington,12518,4.7,Intermediate level,
Natural Language Processing with Sequence Models,Natural Language Processing with Sequence Models,DeepLearning.AI,1097,4.5,Intermediate level,"Use recurrent neural networks, LSTMs, GRUs & Siamese networks in Trax for sentiment analysis, text generation & named entity recognition.
"
Survey Data Collection and Analytics Specialization,Survey Data Collection and Analytics Specialization,University of Michigan,846,4.3,Beginner level,"Understand the basics of survey design, sampling methods, data collection and data analysis
Apply the skills learned to analyze and compare multiple data sources in a capstone project
"
Computational Social Science Specialization,Computational Social Science Specialization,"University of California, Davis",544,4.7,Beginner level,"Discover how social networks and human dynamics create social systems and recognizable patterns
Define and discuss big data opportunities and limitations
Web scrape online data, create a social network visualization with it, and use machine learning to analyze its content  
Use computer simulations to program your own artificial societies to explore business strategies and policy options
"
Data Literacy: Exploring and Visualizing Data Specialization,Data Literacy: Exploring and Visualizing Data Specialization,SAS,5,5.0,Beginner level,
IBM Data Analyst Capstone Project,IBM Data Analyst Capstone Project,IBM,1050,4.6,Intermediate level,"Apply different techniques to collect and wrangle data
Showcase your Data Analysis and Visualization skills 
Create a data analysis report and a compelling presentation
Demonstrate proficiency with various Python Libraries
"
Microsoft PL-300 Exam Preparation and Practice,Microsoft PL-300 Exam Preparation and Practice,Microsoft,81,4.5,Beginner level,"How to prepare the data with Power BI.
How to Model the data in Power BI.
How to visualize and analyze the data with Power BI.
How to deploy and maintain Power BI assets.
"
Introduction to Probability and Data with R,Introduction to Probability and Data with R,Duke University,5569,4.7,Beginner level,
Probabilistic Graphical Models 1: Representation,Probabilistic Graphical Models 1: Representation,Stanford University,1425,4.6,Advanced level,
Building Deep Learning Models with TensorFlow,Building Deep Learning Models with TensorFlow,IBM,798,4.4,Intermediate level,"Explain foundational TensorFlow concepts such as the main functions, operations and the execution pipelines. 
Describe how TensorFlow can be used in curve fitting, regression, classification and minimization of error functions.
Analyze different types of Deep Architectures, such as Convolutional Networks, Recurrent Networks and Autoencoders.
Apply TensorFlow for backpropagation to tune the weights and biases while the Neural Networks are being trained.
"
Creative Designing in Power BI,Creative Designing in Power BI,Microsoft,83,4.4,Beginner level,"How to create compelling and cohesive reports and dashboards. 
How to work in detail with specialist chart visualizations.
How to add elements such as videos, streaming data and QR codes to dashboards.
"
Microsoft Azure Data Fundamentals DP-900 Exam Prep Specialization,Microsoft Azure Data Fundamentals DP-900 Exam Prep Specialization,Microsoft,536,4.7,Beginner level,"The fundamentals of database concepts in a cloud environment, basic skilling in cloud data services, and cloud data services within Microsoft Azure.
"
Advanced Computer Vision with TensorFlow,Advanced Computer Vision with TensorFlow,DeepLearning.AI,464,4.8,Intermediate level,
Google Data Analytics Professional Certificate,Google Data Analytics Professional Certificate,Google,133572,4.8,Beginner level,"Gain an immersive understanding of the practices and processes used by a junior or associate data analyst in their day-to-day job
Learn key analytical skills (data cleaning, analysis, & visualization) and tools (spreadsheets, SQL, R programming, Tableau) 
Understand how to clean and organize data for analysis, and complete analysis and calculations using spreadsheets, SQL and R programming
Learn how to visualize and present data findings in dashboards, presentations and commonly used visualization platforms
"
Applied Data Science Capstone,Applied Data Science Capstone,IBM,6993,4.7,Intermediate level,"Demonstrate proficiency in data science and machine learning techniques using a real-world data set and prepare a report for stakeholders   
Apply your skills to perform data collection, data wrangling, exploratory data analysis, data visualization model development, and model evaluation
Write Python code to create machine learning models including support vector machines, decision tree classifiers, and k-nearest neighbors  
Evaluate the results of machine learning models for predictive analysis, compare their strengths and weaknesses and identify the optimal model   
"
Build Better Generative Adversarial Networks (GANs),Build Better Generative Adversarial Networks (GANs),DeepLearning.AI,636,4.7,Intermediate level,
"Custom Models, Layers, and Loss Functions with TensorFlow","Custom Models, Layers, and Loss Functions with TensorFlow",DeepLearning.AI,981,4.9,Intermediate level,
AI and Climate Change,AI and Climate Change,DeepLearning.AI,65,4.8,Beginner level,
Introduction to Genomic Technologies,Introduction to Genomic Technologies,Johns Hopkins University,4471,4.6,,
Managing Machine Learning Projects,Managing Machine Learning Projects,Duke University,135,4.8,Beginner level,
Google Cloud Big Data and Machine Learning Fundamentals,Google Cloud Big Data and Machine Learning Fundamentals,Google Cloud,15932,4.7,Beginner level,"Identify the data-to-AI lifecycle on Google Cloud and the major products of big data and machine learning.
Design streaming pipelines with Dataflow and Pub/Sub and dDesign streaming pipelines with Dataflow and Pub/Sub.
Identify different options to build machine learning solutions on Google Cloud.
Describe a machine learning workflow and the key steps with Vertex AI and build a machine learning pipeline using AutoML.
"
Deploy and Maintain Power BI Assets and Capstone project,Deploy and Maintain Power BI Assets and Capstone project,Microsoft,68,4.3,Beginner level,"How to create and publish an app in Power BI.
How to implement dynamic reports in Power BI. 
How to implement security measures and alerting in a Power BI report or dashboard.
"
Assessment for Data Analysis and Visualization Foundations,Assessment for Data Analysis and Visualization Foundations,IBM,197,4.6,Beginner level,"Demonstrate readiness for performing foundational data analysis and data visualization tasks and key steps in the Data Analytics process.
Differentiate between the roles different data professionals play in a modern data ecosystem.
Perform basic Excel tasks for Data Analysis including data quality and data preparation skills.
Exhibit abilities in visualizing data using Excel and proficiency in creating dashboards using Excel and Cognos Analytics.
"
Supervised Machine Learning: Regression,Supervised Machine Learning: Regression,IBM,518,4.7,Intermediate level,
Learn SQL Basics for Data Science Specialization,Learn SQL Basics for Data Science Specialization,"University of California, Davis",9914,4.5,Beginner level,"Use SQL commands to filter, sort, & summarize data; manipulate strings, dates, & numerical data from different sources for analysis
Assess and create datasets to solve your business questions and problems using SQL
Use the collaborative Databricks workspace and create an end-to-end pipeline that reads data, transforms it, and saves the result
Develop a project proposal & select your data, perform statistical analysis & develop metrics, and present your findings & make recommendations
"
"Introduction to Trading, Machine Learning & GCP","Introduction to Trading, Machine Learning & GCP",Google Cloud,812,4.0,Intermediate level,"Understand the fundamentals of trading, including the concepts of trend, returns, stop-loss, and volatility.
Define quantitative trading and the main types of quantitative trading strategies.
Understand the basic steps in exchange arbitrage, statistical arbitrage, and index arbitrage.
Understand the application of machine learning to financial use cases.
"
Getting Started with SAS Programming,Getting Started with SAS Programming,SAS,2980,4.8,Beginner level,
Problem Solving with Excel,Problem Solving with Excel,PwC,5264,4.7,Beginner level,
SAS Advanced Programmer Professional Certificate,SAS Advanced Programmer Professional Certificate,SAS,304,4.8,Intermediate level,"Process data using Structured Query Language in the SAS environment    
Use the SAS macro facility to design, write, and debug dynamic macro programs  
Use advanced DATA step techniques and procedures to manipulate data    
"
Design of Experiments Specialization,Design of Experiments Specialization,Arizona State University,274,4.7,Beginner level,"Plan, design and conduct experiments efficiently and effectively, and analyze the resulting data to obtain valid objective conclusions.
Use response surface methods for system optimization as a follow-up to successful screening.
Use experimental design tools for computer experiments, both deterministic and stochastic computer models.
Use software tools to create custom designs based on optimal design methodology for situations where standard designs are not easily applicable.
"
Sample-based Learning Methods,Sample-based Learning Methods,University of Alberta,1216,4.8,Intermediate level,
AI for Medical Prognosis,AI for Medical Prognosis,DeepLearning.AI,757,4.7,Intermediate level,"Walk through examples of prognostic tasks
Apply tree-based models to estimate patient survival rates
Navigate practical challenges in medicine like missing data  
"
Apply Generative Adversarial Networks (GANs),Apply Generative Adversarial Networks (GANs),DeepLearning.AI,507,4.8,Intermediate level,
Tools for Data Science,Tools for Data Science,IBM,28241,4.5,Beginner level,"Describe the Data Scientist’s tool kit which includes: Libraries & Packages, Data sets, Machine learning models, and Big Data tools   
Utilize languages commonly used by data scientists like Python, R, and SQL   
Demonstrate working knowledge of tools such as Jupyter notebooks and RStudio and utilize their various features    
Create and manage source code for data science using Git repositories and GitHub.   
"
The Structured Query Language (SQL),The Structured Query Language (SQL),University of Colorado Boulder,605,4.7,Beginner level,"The origins and historical basis for SQL
Standard SQL  use and syntax
How to code SQL queries in order to analyze data stored in relational databases 
"
"Capstone: Retrieving, Processing, and Visualizing Data with Python","Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,13685,4.7,Beginner level,"Make use of unicode characters and strings
Understand the basics of building a search engine
Select and process the data of your choice
Create email data visualizations
"
Introduction to Business Analytics,Introduction to Business Analytics,Tableau Learning Partner,161,4.7,Beginner level,"Demonstrate a foundational knowledge of the business analyst role.
Explain the foundational project management topics and skills used by a BI analyst.
Describe data literacy and its importance for a BI analyst.
"
Bayesian Statistics: From Concept to Data Analysis,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",3127,4.6,Intermediate level,"Describe & apply the Bayesian approach to statistics.
Explain the key differences between Bayesian and Frequentist approaches.
Master the basics of the R computing environment.
"
AI Capstone Project with Deep Learning,AI Capstone Project with Deep Learning,IBM,515,4.5,Advanced level,"Build a deep learning model to solve a real problem.
Execute the process of creating a deep learning pipeline.
Apply knowledge of deep learning to improve models using real data.
Demonstrate ability to present and communicate outcomes of deep learning projects.
"
Fundamentals of Visualization with Tableau,Fundamentals of Visualization with Tableau,"University of California, Davis",6508,4.5,Beginner level," Install Tableau Public Software and create a visualization
 Examine and navigate the Tableau Public workspace
 Practice and connect to different data sources
 Examine ways to define your project
"
Basic Statistics,Basic Statistics,University of Amsterdam,4369,4.6,Beginner level,
Rust Fundamentals,Rust Fundamentals,Duke University,48,4.3,Beginner level,"Apply Rust's core concepts like ownership, borrowing, and lifetimes to write efficient, reliable, and safe code. 
Use Rust's advanced features like enums, structs, traits, and generics to build robust applications. 
Develop, document, test and debug Rust projects using Cargo, Rust Analyzer, and other tools in the Rust ecosystem. 
"
AI For Medical Treatment,AI For Medical Treatment,DeepLearning.AI,505,4.7,Intermediate level,"Estimate treatment effects using data from randomized control trials
Explore methods to interpret diagnostic and prognostic models
Apply natural language processing to extract information from unstructured medical data
"
Data Science at Scale Specialization,Data Science at Scale Specialization,University of Washington,538,4.1,Intermediate level,
Machine Learning for Supply Chains Specialization,Machine Learning for Supply Chains Specialization,LearnQuest,47,3.7,Intermediate level,
Supervised Machine Learning: Classification,Supervised Machine Learning: Classification,IBM,311,4.8,Intermediate level,
Analytics for Decision Making Specialization,Analytics for Decision Making Specialization,University of Minnesota,125,4.8,Beginner level,
Human Factors in AI,Human Factors in AI,Duke University,70,4.7,Beginner level,"Identify and mitigate privacy and ethical risks in AI projects
Apply human-centered design practices to design successful AI product experiences
Build AI systems that augment human intelligence and inspire model trust in users
"
Introduction to Tableau,Introduction to Tableau,Tableau Learning Partner,98,4.8,Beginner level,"Describe the value of data visualizations in the field of business analytics.
How to preprocess data using Tableau Public
How to combine data from multiple tables found within the same data source as well as other data sources in Tableau Public.
"
Getting Started with R,Getting Started with R,Coursera Project Network,342,4.3,Beginner level,"Understand the basics of the R language
Work with the R data types and structures
"
Recommender Systems Specialization,Recommender Systems Specialization,University of Minnesota,697,4.4,Intermediate level,"Build recommendation systems
Implement collaborative filtering
Master spreadsheet based tools
Use project-association recommenders
"
Custom and Distributed Training with TensorFlow,Custom and Distributed Training with TensorFlow,DeepLearning.AI,384,4.8,Intermediate level,
"Data Wrangling, Analysis and AB Testing with SQL","Data Wrangling, Analysis and AB Testing with SQL","University of California, Davis",927,3.3,Intermediate level,"Validate and clean a dataset
Assess and create datasets to answer your questions
Solve problems using SQL
Build a simple testing framework to touch on AB Testing
"
Microsoft Azure for Data Engineering,Microsoft Azure for Data Engineering,Microsoft,549,4.5,Intermediate level,"You will learn the various data platform technologies available, and how to take advantage of this technology to an organizations benefit.
Choose Microsoft Azure data technologies that meet different business needs and scale to meet demands securely
Describe common data engineering practices 
Explain the differences between on-premises and cloud data solutions 
"
Mathematics for Machine Learning: PCA,Mathematics for Machine Learning: PCA,Imperial College London,3050,4.0,Intermediate level,"Implement mathematical concepts using real-world data
Derive PCA from a projection perspective
Understand how orthogonal projections work
Master PCA
"
AI for Scientific Research Specialization,AI for Scientific Research Specialization,LearnQuest,48,3.2,Beginner level,"How to use AI in scientific situations to discover trends and patterns within datasets
The complete machine learning process
Use artificial intelligence to predict sequences in datasets
"
Data Analysis with R,Data Analysis with R,IBM,266,4.7,Intermediate level,"Prepare data for analysis by handling missing values, formatting and normalizing data, binning, and turning categorical values into numeric values.
Compare and contrast predictive models using simple linear, multiple linear, and polynomial regression methods.
Examine data using descriptive statistics, data grouping, analysis of variance (ANOVA), and correlation statistics.
Evaluate a model for overfitting and underfitting conditions and tune its performance using regularization and grid search.
"
Machine Learning with Apache Spark,Machine Learning with Apache Spark,IBM,55,4.6,Intermediate level,"Describe ML, explain its role in data engineering, summarize generative AI, discuss Spark's uses, and analyze ML pipelines and model persistence. 
Evaluate ML models, distinguish between regression, classification, and clustering models, and compare data engineering pipelines with ML pipelines. 
Construct the data analysis processes using Spark SQL, and perform regression, classification, and clustering using SparkML. 
Demonstrate connecting to Spark clusters, build ML pipelines, perform feature extraction and transformation, and model persistence. 
"
AI and Disaster Management,AI and Disaster Management,DeepLearning.AI,43,4.8,Beginner level,
Accounting Data Analytics Specialization,Accounting Data Analytics Specialization,University of Illinois at Urbana-Champaign,164,4.6,Intermediate level,
Using Data Analytics in Supply Chain,Using Data Analytics in Supply Chain,Unilever,0,0,Beginner level,
Analyzing and Visualizing Data in Looker,Analyzing and Visualizing Data in Looker,Google Cloud,318,4.7,Beginner level,"Use dimensions, measures, filters, and pivots to analyze and visualize data
Create advanced metrics instantaneously with table calculations
Create visualizations using Looks and dashboards
Share Looker content with others
"
Algorithms for DNA Sequencing,Algorithms for DNA Sequencing,Johns Hopkins University,877,4.7,,
Advanced Machine Learning and Signal Processing,Advanced Machine Learning and Signal Processing,IBM,1227,4.5,Advanced level,
CertNexus Certified Artificial Intelligence Practitioner Professional Certificate,CertNexus Certified Artificial Intelligence Practitioner Professional Certificate,CertNexus,47,4.3,Intermediate level,"Learn about the business problems that AI/ML can solve as well as the specific AI/ML technologies that can solve them.  
Learn important tasks that make up the workflow, including data analysis and model training and about how machine learning tasks can be automated. 
Use ML algorithms to solve the two most common supervised problems regression and classification, and a common unsupervised problem: clustering.
Explore advanced algorithms used in both machine learning and deep learning. Build multiple models to solve business problems within a workflow.
"
Informed Clinical Decision Making using Deep Learning Specialization,Informed Clinical Decision Making using Deep Learning Specialization,University of Glasgow,18,4.7,Intermediate level,"Extract and preprocess data from complex clinical databases
Apply deep learning in Electronic Health Records
Imputation of Electronic Health Records and data encodings
Explainable, fair and privacy-preserved Clinical Decision Support Systems
"
Data Mining Foundations and Practice Specialization,Data Mining Foundations and Practice Specialization,University of Colorado Boulder,28,3.8,Intermediate level,"Data mining pipeline: data understanding, preprocessing, warehousing
Data mining methods: frequent patterns, classification, clustering, outliers 
Data mining project: project formulation, design, implementation, reporting 
"
Apache Spark (TM) SQL for Data Analysts,Apache Spark (TM) SQL for Data Analysts,Databricks,492,4.5,Intermediate level,"Ingest, transform, and query data to extract valuable insights.
Leverage existing SQL skills to start working with Apache Spark. 
"
Introduction to Designing Data Lakes on AWS,Introduction to Designing Data Lakes on AWS,Amazon Web Services,220,4.7,Intermediate level,"Where to start with a Data Lake?
How to build a secure and scalable Data Lake?
What are the common components of a Data Lake?
Why do you need a Data Lake and what it's value?
"
Applied AI with DeepLearning,Applied AI with DeepLearning,IBM,1109,4.4,Advanced level,
Data Analysis with R Programming,Data Analysis with R Programming,Google,9556,4.8,Beginner level,"Describe the R programming language and its programming environment.
Explain the fundamental concepts associated with programming in R including functions, variables, data types, pipes, and vectors.
Describe the options for generating visualizations in R.
Demonstrate an understanding of the basic formatting in R Markdown to create structure and emphasize content.
"
Introduction to Microsoft Excel,Introduction to Microsoft Excel,Coursera Project Network,24,4.6,Beginner level,"Entering simple data in Microsoft Excel.
Change the layout of data entered in Microsoft Excel.
"
Business Analysis Process,Business Analysis Process,Tableau Learning Partner,58,4.7,Beginner level,"Demonstrate an in-depth knowledge of the business analysis process.
Create a business requirements document that conforms to industry best practices.
Create a visual model of a business process.
"
Probabilistic Graphical Models 2: Inference,Probabilistic Graphical Models 2: Inference,Stanford University,482,4.6,Advanced level,
Copywriting with ChatGPT: Produce Compelling Copy That Sells,Copywriting with ChatGPT: Produce Compelling Copy That Sells,Coursera Project Network,15,4.8,Beginner level,"Master research techniques with ChatGPT to speed up audience insight gathering process and product USP generation
Develop compelling headlines and body copy using iterative refinement techniques
Optimize the AI-generated copy to ensure authenticity, making it resonate with human readers while effectively bypassing AI detection tools
"
Classification of COVID19 using Chest X-ray Images in Keras,Classification of COVID19 using Chest X-ray Images in Keras,Coursera Project Network,33,4.6,Intermediate level,"Learn to Build and Train the Convolutional Neural Network using Keras with Tensorflow as Backend
Learn to Visualize Data in Matplotlib
Learn to make use of the Trained Model to Predict on a New Set of Data
"
Deep Learning and Reinforcement Learning,Deep Learning and Reinforcement Learning,IBM,180,4.6,Intermediate level,
Data Mining Specialization,Data Mining Specialization,University of Illinois at Urbana-Champaign,1961,4.5,Intermediate level,
Prediction and Control with Function Approximation,Prediction and Control with Function Approximation,University of Alberta,808,4.8,Intermediate level,
Linear Regression and Modeling,Linear Regression and Modeling,Duke University,1686,4.8,Beginner level,
Generative Deep Learning with TensorFlow,Generative Deep Learning with TensorFlow,DeepLearning.AI,251,4.9,Intermediate level,
Inferential Statistics,Inferential Statistics,Duke University,2624,4.8,Beginner level,
Mastering Software Development in R Specialization,Mastering Software Development in R Specialization,Johns Hopkins University,1258,4.2,Beginner level,"Build R packages
Custom data visualization and graphics
Data manipulation and wrangling
Produce and scale data science products
"
Launching into Machine Learning,Launching into Machine Learning,Google Cloud,4273,4.6,Beginner level,"Describe how to improve data quality and perform exploratory data analysis
Build and train AutoML Models using Vertex AI and BigQuery ML
Optimize and evaluate models using loss functions and performance metrics
Create repeatable and scalable training, evaluation, and test datasets
"
Exam Prep DAS-C01: AWS Certified Data Analytics Specialty Specialization,Exam Prep DAS-C01: AWS Certified Data Analytics Specialty Specialization,Whizlabs,9,4.6,Beginner level,"Gain Skills to understand the fundamentals of  Data Analytics.
Learn working with various AWS Services necessary for Data Analytics 
"
Introduction to Data Analysis Using Excel,Introduction to Data Analysis Using Excel,Rice University,10166,4.7,,
A Complete Reinforcement Learning System (Capstone),A Complete Reinforcement Learning System (Capstone),University of Alberta,620,4.7,Intermediate level,
Specialized Models: Time Series and Survival Analysis,Specialized Models: Time Series and Survival Analysis,IBM,123,4.5,Intermediate level,
Business Metrics for Data-Driven Companies,Business Metrics for Data-Driven Companies,Duke University,8345,4.6,,
Data Visualization with Tableau,Data Visualization with Tableau,Tableau Learning Partner,47,4.8,Beginner level,"Identify the value and structure of Tableau Public as it applies to data visualization in the industry of business analytics.  
 Build interactive tables by connecting, preparing, and customizing data in Tableau Public.
 Create data visualizations to communicate analytic insights to the intended audience, such as business stakeholders.
"
Unsupervised Machine Learning,Unsupervised Machine Learning,IBM,231,4.7,Intermediate level,
Using Machine Learning in Trading and Finance,Using Machine Learning in Trading and Finance,New York Institute of Finance,344,3.9,Intermediate level,"Design basic quantitative trading strategies 
Use Keras and Tensorflow to build machine learning models
Build a pair trading strategy prediction model and back test it.
Build a momentum-based trading model and back test it.
"
"Foundations of Sports Analytics: Data, Representation, and Models in Sports","Foundations of Sports Analytics: Data, Representation, and Models in Sports",University of Michigan,163,4.4,Intermediate level,"Use Python to analyze team performance in sports.
Become a producer of sports analytics rather than a consumer.
"
Business Analytics Capstone,Business Analytics Capstone,University of Pennsylvania,738,4.5,Intermediate level,
Applied Data Science with R Specialization,Applied Data Science with R Specialization,IBM,131,4.5,Beginner level,"Perform basic R programming tasks like working with data structures, data manipulation, using APIs, webscraping, and using R Studio and Jupyter.
Create relational databases and tables, load them with data from CSV files, and query data using SQL and R using JupyterLab.
Complete the data analysis process, including data preparation,
statistical analysis, and predictive modeling.
Communicate data analysis findings with data visualization charts, plots, and dashboards using libraries such as ggplot, leaflet and R Shiny.
"
ChatGPT for Beginners: Using AI for Market Research,ChatGPT for Beginners: Using AI for Market Research,Coursera Project Network,0,0,Beginner level,"Practice how to use ChatGPT platform & its core features.
Design surveys & polls, transcribe them into multiple languages
Generate Blog Post
"
CertNexus Certified Ethical Emerging Technologist Professional Certificate,CertNexus Certified Ethical Emerging Technologist Professional Certificate,CertNexus,387,4.7,Beginner level,"Apply ethical principles, frameworks, regulations, and standards utilized in data-driven technologies and analyze the challenges that may compromise their implementation.
Detect and mitigate ethical risks in the design, development, and deployment of data-driven technologies.
Communicate effectively with diverse stakeholders about ethical safeguards, ethical risks, and mitigation strategies.
Create, implement, and evaluate the organizational policies and governance structure required for ethical data-driven technologies.
"
Data Visualization with R,Data Visualization with R,IBM,205,4.6,Beginner level,"Create bar charts, histograms, pie charts, scatter plots, line graphs, box plots, and maps using R and related packages. 
Design customized charts and plots using annotations, axis titles, text labels, themes, and faceting. 
Create maps using the Leaflet package for R. 
Create interactive dashboards using the Shiny package for R. 
"
Distributed Computing with Spark SQL,Distributed Computing with Spark SQL,"University of California, Davis",661,4.5,Intermediate level,"Use the collaborative Databricks workspace to write scalable Spark SQL code that executes against a cluster of machines
Inspect the Spark UI to analyze query performance and identify bottlenecks
Create an end-to-end pipeline that reads data, transforms it, and saves the result
Build a medallion (bronze, silver, gold) lakehouse architecture with Delta Lake to ensure the reliability, scalability, and performance of your data
"
Distributed Programming in SAS® Viya® for Data Analysts Specialization,Distributed Programming in SAS® Viya® for Data Analysts Specialization,SAS,10,4.9,Beginner level,
Data Storage in Microsoft Azure,Data Storage in Microsoft Azure,Microsoft,163,4.3,Intermediate level,"You will learn the basics of storage management in Azure, how to create a Storage Account, and how to choose the right model for your data.
Design and implement data storage and data security
Design and develop data processing
Monitor and optimize data storage and data processing
"
Applied Data Science with Python Specialization,Applied Data Science with Python Specialization,University of Michigan,25937,4.5,Intermediate level,"Conduct an inferential statistical analysis
Discern whether a data visualization is good or bad
Enhance a data analysis with applied machine learning
Analyze the connectivity of a social network
"
Statistics for Data Science with Python,Statistics for Data Science with Python,IBM,366,4.5,,"Write Python code to conduct various statistical tests including a T test, an ANOVA, and regression analysis. 
Interpret the results of your statistical analysis after conducting hypothesis testing. 
Calculate descriptive statistics and visualization by writing Python code. 
Create a final project that demonstrates your understanding of various statistical test using Python and evaluate your peer's projects. 
"
"Introduction to Data, Signal, and Image Analysis with MATLAB","Introduction to Data, Signal, and Image Analysis with MATLAB",Vanderbilt University,192,4.7,Intermediate level,"Learners will understand how signals, images, and data are represented and manipulated in MATLAB 
Learners will gain experience with methods for data visualization, including high dimensional datasets in MATLAB
Learners will apply machine learning methods for data classification and prediction in MATLAB
Learners will learn essential signal frequency analysis and image processing methods in MATLAB
"
Microsoft Azure Machine Learning for Data Scientists,Microsoft Azure Machine Learning for Data Scientists,Microsoft,104,4.4,Intermediate level,"Identify different kinds of machine learning models 
How to use the automated machine learning capability of Azure Machine Learning to train and deploy a predictive model
Create regression, classification, and clustering models using Azure Machine Learning designer
Use Azure Machine Learning to create and publish models without writing code
"
Generative AI: Enhance your Data Analytics Career,Generative AI: Enhance your Data Analytics Career,IBM,14,4.6,Intermediate level,"Describe how you can use Generative AI tools and techniques in the context of data analytics across industries
Implement various data analytic processes such as data preparation, analysis, visualization and storytelling using Generative AI tools
Evaluate real-world case studies showcasing the successful application of Generative AI in deriving meaningful insights 
 Analyze the ethical considerations and challenges associated with using Generative AI in data analytics
"
Machine Learning Foundations: A Case Study Approach,Machine Learning Foundations: A Case Study Approach,University of Washington,13375,4.6,,
Advanced Data Visualization with Tableau,Advanced Data Visualization with Tableau,Tableau Learning Partner,22,4.9,Beginner level,"Create advanced data visualizations to communicate analytic insights, such as dual-axis charts, bar-in-bar charts, small multiples, and more.
Create and customize spatial analytics data visualizations to communicate insights, such as maps, geocoding, lasso and radial selection, and more. 
 Add complexity to the visualizations produced in your analysis by incorporating motion and multi layers. 
"
Doing More with SAS Programming,Doing More with SAS Programming,SAS,918,4.8,Intermediate level,
Inferential Statistical Analysis with Python,Inferential Statistical Analysis with Python,University of Michigan,881,4.6,Intermediate level,"Determine assumptions needed to calculate confidence intervals for their respective population parameters.
Create confidence intervals in Python and interpret the results.
Review how inferential procedures are applied and interpreted step by step when analyzing real data.
Run hypothesis tests in Python and interpret the results.
"
Bayesian Statistics: Techniques and Models,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",471,4.8,Intermediate level,"Efficiently and effectively communicate the results of data analysis.
Use statistical modeling results to draw scientific conclusions.
Extend basic statistical models to account for correlated observations using hierarchical models.
"
Production Machine Learning Systems,Production Machine Learning Systems,Google Cloud,969,4.6,Advanced level,"Compare static versus dynamic training and inference
Manage model dependencies
Set up distributed training for fault tolerance, replication, and more
Export models for portability
"
Data Visualization,Data Visualization,University of Illinois at Urbana-Champaign,1363,4.5,,
"Applied Plotting, Charting & Data Representation in Python","Applied Plotting, Charting & Data Representation in Python",University of Michigan,6220,4.5,Intermediate level,"Describe what makes a good or bad visualization
Understand best practices for creating basic charts
Identify the functions that are best for particular problems
Create a visualization using matplotlb
"
Guided Tour of Machine Learning in Finance,Guided Tour of Machine Learning in Finance,New York University,667,3.8,Intermediate level,
Probabilistic Graphical Models 3: Learning,Probabilistic Graphical Models 3: Learning,Stanford University,298,4.6,Advanced level,
Getting and Cleaning Data,Getting and Cleaning Data,Johns Hopkins University,8048,4.5,,"Understand common data storage systems
Apply data cleaning basics to make data ""tidy""
Use R for text and date manipulation
Obtain usable data from the web, APIs, and databases
"
Predicting Credit Card Fraud with R,Predicting Credit Card Fraud with R,University of North Texas,31,4.4,Intermediate level,"Use R to identify fraudulent credit card transactions with a variety of classification methods. 
Create, train, and evaluate decision tree, naïve Bayes, and Linear discriminant analysis classification models using R
Generate synthetic samples to improve the performance of your models.
"
"Generative AI: Impact, Considerations, and Ethical Issues","Generative AI: Impact, Considerations, and Ethical Issues",IBM,39,4.7,Beginner level,"Describe the limitations of generative AI and the related concerns. 
Identify the ethical issues, concerns, and misuses associated with generative AI.
Explain the considerations for the responsible use of generative AI. 
Discuss the economic and social impact of generative AI.
"
Geospatial Analysis with ArcGIS,Geospatial Analysis with ArcGIS,"University of California, Davis",26,4.4,Intermediate level,
Getting Started with SAS Visual Analytics,Getting Started with SAS Visual Analytics,SAS,845,4.7,Beginner level,
Data Science Coding Challenge: Loan Default Prediction,Data Science Coding Challenge: Loan Default Prediction,Coursera Project Network,0,0,Intermediate level,"Load, clean, analyze, process, and visualize data using Python and Jupyter Notebooks
Produce an end-to-end machine learning prediction model using Python and Jupyter Notebooks
"
Python and Pandas for Data Engineering,Python and Pandas for Data Engineering,Duke University,184,4.6,Beginner level,"Setup a provisioned Python project environment
Use Pandas libraries to read and write data into data structures and files
Employ Vim and Visual Studio Code to write Python code
"
